@relation 'kredyty-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzły-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute status_pożyczki {dobry,zły}

@data
12,984.34,0,200,'\'(42.8-55.2]\'',Kobieta,14,6,dobry
13,580,1,800,'\'(55.2-67.6]\'',Kobieta,115,48,dobry
11,1000,1,300,'\'(-inf-30.4]\'',Mężczyzna,53,48,dobry
13,1820,1,1000,'\'(55.2-67.6]\'',Kobieta,65,48,dobry
11,901,0,300,'\'(-inf-30.4]\'',Kobieta,36,48,dobry
13,2000,1,250,'\'(67.6-inf)\'',Mężczyzna,41,48,dobry
11,1077,1,200,'\'(42.8-55.2]\'',Kobieta,179,48,dobry
13,1162.41,1,250,'\'(67.6-inf)\'',Mężczyzna,100,48,dobry
11,1870,0,200,'\'(42.8-55.2]\'',Kobieta,260,48,zły
11,2256,0,800,'\'(30.4-42.8]\'',Mężczyzna,70,48,zły
11,992.84,1,300,'\'(42.8-55.2]\'',Kobieta,117,48,dobry
17,728,1,200,'\'(-inf-30.4]\'',Mężczyzna,96,34,dobry
11,2947,1,476.61,'\'(55.2-67.6]\'',Mężczyzna,49,48,dobry
98,911,1,250,'\'(42.8-55.2]\'',Kobieta,94,48,dobry
13,1134.96,1,200,'\'(67.6-inf)\'',Kobieta,157,48,dobry
12,1382,0,200,'\'(30.4-42.8]\'',Kobieta,17,6,dobry
13,866.46,1,200,'\'(67.6-inf)\'',Kobieta,191,48,dobry
13,825.69,0,300,'\'(55.2-67.6]\'',Kobieta,3,48,zły
12,1030,1,296.54,'\'(30.4-42.8]\'',Mężczyzna,1,22,dobry
11,2100,0,400,'\'(55.2-67.6]\'',Mężczyzna,183,48,dobry
13,1800,1,200,'\'(67.6-inf)\'',Kobieta,113,48,dobry
16,650.77,0,200,'\'(55.2-67.6]\'',Mężczyzna,44,48,dobry
16,1072.89,1,300,'\'(42.8-55.2]\'',Kobieta,118,48,dobry
13,2040,0,300,'\'(55.2-67.6]\'',Mężczyzna,140,48,dobry
11,1200,0,400,'\'(42.8-55.2]\'',Kobieta,97,48,zły
16,634.64,0,300,'\'(55.2-67.6]\'',Kobieta,132,48,dobry
12,1042,0,300,'\'(42.8-55.2]\'',Mężczyzna,1,1,dobry
11,3500,1,400,'\'(30.4-42.8]\'',Mężczyzna,24,48,dobry
12,1200,0,300,'\'(30.4-42.8]\'',Mężczyzna,1,1,zły
11,1037.34,1,200,'\'(30.4-42.8]\'',Kobieta,58,48,dobry
13,714,1,200,'\'(55.2-67.6]\'',Kobieta,218,48,dobry
13,1287.66,0,300,'\'(55.2-67.6]\'',Mężczyzna,92,48,dobry
98,2200,1,500,'\'(42.8-55.2]\'',Kobieta,21,48,dobry
11,2300,0,200,'\'(30.4-42.8]\'',Mężczyzna,101,48,zły
11,1566.82,0,200,'\'(42.8-55.2]\'',Mężczyzna,345,48,dobry
11,1071.61,0,200,'\'(42.8-55.2]\'',Kobieta,399,48,dobry
11,800.51,0,400,'\'(30.4-42.8]\'',Kobieta,16,48,dobry
12,1500,1,500,'\'(42.8-55.2]\'',Kobieta,22,10,zły
12,1400,0,300,'\'(-inf-30.4]\'',Mężczyzna,5,18,dobry
12,1134.4,0,200,'\'(-inf-30.4]\'',Kobieta,7,8,zły
11,967.64,0,200,'\'(42.8-55.2]\'',Kobieta,315,48,dobry
13,1635,1,200,'\'(55.2-67.6]\'',Kobieta,116,48,dobry
11,2875.71,1,1100,'\'(30.4-42.8]\'',Mężczyzna,274,48,dobry
13,1000,0,300,'\'(67.6-inf)\'',Kobieta,60,48,dobry
13,1400,1,400,'\'(55.2-67.6]\'',Kobieta,242,48,dobry
13,2612,0,500,'\'(67.6-inf)\'',Mężczyzna,78,48,dobry
13,930,0,400,'\'(55.2-67.6]\'',Kobieta,28,48,dobry
12,1100,1,300,'\'(55.2-67.6]\'',Mężczyzna,18,18,dobry
11,1900,1,694,'\'(30.4-42.8]\'',Kobieta,204,48,dobry
13,815,0,300,'\'(55.2-67.6]\'',Kobieta,140,48,dobry
13,1500,1,500,'\'(55.2-67.6]\'',Mężczyzna,19,48,dobry
12,1300,0,300,'\'(-inf-30.4]\'',Mężczyzna,0,3,zły
11,2100,1,300,'\'(30.4-42.8]\'',Mężczyzna,60,48,dobry
17,1100,0,200,'\'(55.2-67.6]\'',Kobieta,23,10,dobry
11,1493.98,0,200,'\'(42.8-55.2]\'',Kobieta,357,48,dobry
11,1400,0,421.62,'\'(30.4-42.8]\'',Kobieta,97,48,dobry
13,1272,0,500,'\'(55.2-67.6]\'',Mężczyzna,12,48,dobry
11,1638,1,1239.88,'\'(42.8-55.2]\'',Kobieta,310,48,dobry
11,2500,0,600,'\'(42.8-55.2]\'',Kobieta,229,48,dobry
13,840,1,200,'\'(55.2-67.6]\'',Kobieta,109,48,dobry
12,950,0,200,'\'(30.4-42.8]\'',Mężczyzna,3,12,dobry
11,2825,0,500,'\'(30.4-42.8]\'',Kobieta,93,48,zły
13,2066,1,700,'\'(55.2-67.6]\'',Kobieta,125,48,dobry
13,1094,0,300,'\'(55.2-67.6]\'',Kobieta,180,48,dobry
11,1400,1,600,'\'(55.2-67.6]\'',Kobieta,159,48,dobry
13,1185.33,1,200,'\'(67.6-inf)\'',Kobieta,220,48,dobry
13,1658,1,300,'\'(55.2-67.6]\'',Kobieta,25,48,dobry
13,1900,1,500,'\'(55.2-67.6]\'',Kobieta,84,48,dobry
13,770,0,200,'\'(67.6-inf)\'',Mężczyzna,108,48,zły
12,1952.35,0,200,'\'(42.8-55.2]\'',Mężczyzna,0,11,dobry
12,1030,1,200,'\'(42.8-55.2]\'',Mężczyzna,5,19,dobry
11,2065.98,1,300,'\'(42.8-55.2]\'',Kobieta,175,48,dobry
12,1884.29,0,300,'\'(30.4-42.8]\'',Mężczyzna,16,7,dobry
11,3200,1,600,'\'(42.8-55.2]\'',Kobieta,50,48,dobry
11,2031,0,1000,'\'(55.2-67.6]\'',Mężczyzna,110,48,dobry
11,3000,0,400,'\'(-inf-30.4]\'',Mężczyzna,37,48,dobry
12,670,1,300,'\'(42.8-55.2]\'',Mężczyzna,5,6,dobry
13,1721,1,350,'\'(67.6-inf)\'',Kobieta,193,48,zły
13,1029.7,0,200,'\'(55.2-67.6]\'',Kobieta,5,48,zły
98,1200,1,285.97,'\'(30.4-42.8]\'',Kobieta,42,48,dobry
11,1770,1,280.11,'\'(30.4-42.8]\'',Kobieta,83,48,dobry
99,2500,0,400,'\'(42.8-55.2]\'',Mężczyzna,1,2,dobry
11,1250,1,500,'\'(55.2-67.6]\'',Mężczyzna,61,48,dobry
16,749.28,1,200,'\'(42.8-55.2]\'',Kobieta,61,48,dobry
16,980,1,400,'\'(67.6-inf)\'',Kobieta,127,48,dobry
13,1100,0,300,'\'(67.6-inf)\'',Mężczyzna,62,48,zły
11,10000,0,1000,'\'(-inf-30.4]\'',Mężczyzna,5,48,zły
13,1977,0,400,'\'(55.2-67.6]\'',Kobieta,51,48,dobry
13,975,1,277.4,'\'(55.2-67.6]\'',Kobieta,23,48,dobry
11,3335,1,600,'\'(55.2-67.6]\'',Mężczyzna,429,48,dobry
98,980,0,300,'\'(55.2-67.6]\'',Kobieta,7,48,dobry
13,1742.76,0,200,'\'(55.2-67.6]\'',Mężczyzna,38,48,zły
13,860,1,789.27,'\'(55.2-67.6]\'',Kobieta,77,48,dobry
16,1700,0,500,'\'(42.8-55.2]\'',Mężczyzna,242,48,zły
16,1401,0,300,'\'(67.6-inf)\'',Kobieta,72,48,dobry
99,1100,0,200,'\'(42.8-55.2]\'',Kobieta,49,0,dobry
11,1500,1,377.92,'\'(-inf-30.4]\'',Kobieta,21,48,dobry
11,3100,1,500,'\'(30.4-42.8]\'',Kobieta,118,48,dobry
11,2700,1,400,'\'(30.4-42.8]\'',Kobieta,118,48,dobry
13,750,0,200,'\'(55.2-67.6]\'',Kobieta,62,48,zły
13,784,0,200,'\'(55.2-67.6]\'',Kobieta,36,48,dobry
13,2110,1,300,'\'(55.2-67.6]\'',Mężczyzna,98,48,dobry
99,685,1,250,'\'(55.2-67.6]\'',Mężczyzna,2,0,dobry
13,1300,0,300,'\'(55.2-67.6]\'',Mężczyzna,75,48,dobry
13,1026,1,200,'\'(67.6-inf)\'',Kobieta,244,48,dobry
13,907,0,200,'\'(55.2-67.6]\'',Mężczyzna,5,48,dobry
12,1032.34,1,200,'\'(30.4-42.8]\'',Kobieta,2,9,dobry
11,2353,1,1569.98,'\'(42.8-55.2]\'',Mężczyzna,96,48,dobry
16,540,0,200,'\'(30.4-42.8]\'',Kobieta,180,48,zły
13,3251,0,600,'\'(55.2-67.6]\'',Kobieta,135,48,dobry
13,1525.46,1,521.49,'\'(55.2-67.6]\'',Kobieta,33,48,dobry
11,1136.8,1,200,'\'(-inf-30.4]\'',Mężczyzna,6,48,zły
13,3700,1,800,'\'(55.2-67.6]\'',Kobieta,24,48,dobry
13,1538,1,200,'\'(55.2-67.6]\'',Mężczyzna,98,48,dobry
13,957.2,0,200,'\'(67.6-inf)\'',Mężczyzna,194,48,dobry
11,1459,1,300,'\'(-inf-30.4]\'',Mężczyzna,6,48,dobry
11,3000,1,500,'\'(42.8-55.2]\'',Kobieta,90,48,dobry
13,2100,1,300,'\'(67.6-inf)\'',Kobieta,157,48,dobry
11,1400,1,200,'\'(42.8-55.2]\'',Kobieta,114,48,dobry
13,2120,1,600,'\'(67.6-inf)\'',Kobieta,116,48,dobry
12,1027,1,300,'\'(30.4-42.8]\'',Kobieta,6,48,dobry
13,1801.41,1,700,'\'(55.2-67.6]\'',Kobieta,35,48,dobry
12,1017,1,300,'\'(30.4-42.8]\'',Mężczyzna,54,5,zły
12,1030,1,200,'\'(42.8-55.2]\'',Mężczyzna,6,48,dobry
13,1193.65,0,400,'\'(55.2-67.6]\'',Mężczyzna,6,48,dobry
12,2000,2,200,'\'(42.8-55.2]\'',Kobieta,32,23,dobry
11,2000,0,800,'\'(42.8-55.2]\'',Mężczyzna,48,48,dobry
13,803.86,1,200,'\'(67.6-inf)\'',Kobieta,155,48,dobry
13,1412,1,400,'\'(67.6-inf)\'',Kobieta,201,48,dobry
98,5000,0,600,'\'(30.4-42.8]\'',Kobieta,81,48,dobry
11,1000,1,275.97,'\'(30.4-42.8]\'',Kobieta,58,48,dobry
16,1045,0,200,'\'(42.8-55.2]\'',Mężczyzna,196,48,dobry
17,1896,1,500,'\'(-inf-30.4]\'',Mężczyzna,31,2,dobry
11,1200,1,300,'\'(30.4-42.8]\'',Kobieta,187,48,dobry
12,1500,0,900,'\'(30.4-42.8]\'',Mężczyzna,30,5,dobry
13,1425,1,200,'\'(55.2-67.6]\'',Kobieta,76,48,dobry
16,2300,1,200,'\'(42.8-55.2]\'',Kobieta,60,48,dobry
11,2800,1,400,'\'(42.8-55.2]\'',Kobieta,57,48,dobry
12,1600,1,498.47,'\'(30.4-42.8]\'',Kobieta,11,0,dobry
13,1674.77,0,200,'\'(55.2-67.6]\'',Mężczyzna,66,48,zły
13,995,0,300,'\'(42.8-55.2]\'',Mężczyzna,168,48,zły
11,2011,0,500,'\'(42.8-55.2]\'',Mężczyzna,208,48,dobry
12,1574.45,0,450,'\'(42.8-55.2]\'',Mężczyzna,28,7,dobry
16,634.64,0,200,'\'(42.8-55.2]\'',Kobieta,19,48,zły
11,1261.98,1,400,'\'(30.4-42.8]\'',Mężczyzna,33,48,dobry
13,1149.06,0,400,'\'(55.2-67.6]\'',Kobieta,158,48,dobry
16,1313.41,1,400,'\'(55.2-67.6]\'',Mężczyzna,25,48,dobry
13,1200.29,1,200,'\'(55.2-67.6]\'',Kobieta,19,48,dobry
11,1300,1,326.61,'\'(30.4-42.8]\'',Mężczyzna,42,48,dobry
13,985.9,0,200,'\'(55.2-67.6]\'',Kobieta,87,48,dobry
12,660,1,400,'\'(30.4-42.8]\'',Kobieta,9,29,dobry
17,540.62,0,300,'\'(-inf-30.4]\'',Mężczyzna,3,17,zły
16,755.1,0,200,'\'(55.2-67.6]\'',Kobieta,131,48,dobry
13,1079.14,0,300,'\'(67.6-inf)\'',Mężczyzna,115,48,zły
13,1591,1,381.29,'\'(55.2-67.6]\'',Mężczyzna,73,48,dobry
13,1162,1,200,'\'(55.2-67.6]\'',Mężczyzna,218,48,dobry
11,1600,1,400,'\'(42.8-55.2]\'',Mężczyzna,265,48,zły
12,700,1,250,'\'(30.4-42.8]\'',Mężczyzna,6,17,dobry
11,1250,1,400,'\'(55.2-67.6]\'',Mężczyzna,103,48,zły
11,2249.14,1,500,'\'(55.2-67.6]\'',Kobieta,238,48,dobry
13,1517,0,400,'\'(67.6-inf)\'',Kobieta,132,48,zły
13,1013.74,1,400,'\'(55.2-67.6]\'',Kobieta,110,48,dobry
11,1500,0,400,'\'(55.2-67.6]\'',Kobieta,82,48,dobry
12,1675,1,600,'\'(42.8-55.2]\'',Kobieta,6,5,dobry
13,5100,1,700,'\'(55.2-67.6]\'',Kobieta,25,48,dobry
11,3500,0,1000,'\'(30.4-42.8]\'',Kobieta,238,48,zły
11,1617.68,0,200,'\'(42.8-55.2]\'',Kobieta,82,48,dobry
16,2300,2,1000,'\'(42.8-55.2]\'',Kobieta,60,48,dobry
13,601.03,0,300,'\'(42.8-55.2]\'',Kobieta,302,48,zły
13,1233,0,400,'\'(55.2-67.6]\'',Kobieta,120,48,dobry
13,940.49,0,400,'\'(67.6-inf)\'',Mężczyzna,258,48,zły
13,1768.93,1,500,'\'(55.2-67.6]\'',Mężczyzna,266,48,dobry
11,3170,1,400,'\'(42.8-55.2]\'',Kobieta,282,48,dobry
11,1037.34,0,300,'\'(-inf-30.4]\'',Mężczyzna,31,48,zły
11,1239.05,1,400,'\'(30.4-42.8]\'',Kobieta,201,48,dobry
12,2000,1,396.61,'\'(42.8-55.2]\'',Kobieta,6,20,dobry
13,814.83,1,300,'\'(42.8-55.2]\'',Mężczyzna,154,48,zły
13,832.92,0,200,'\'(55.2-67.6]\'',Kobieta,136,48,zły
13,951,1,500,'\'(67.6-inf)\'',Kobieta,159,48,dobry
12,1350,1,281.29,'\'(42.8-55.2]\'',Kobieta,19,5,dobry
11,1065,1,650,'\'(30.4-42.8]\'',Kobieta,56,48,zły
11,2600,0,650,'\'(55.2-67.6]\'',Mężczyzna,132,48,zły
11,1800,1,600,'\'(42.8-55.2]\'',Mężczyzna,123,48,dobry
11,1037,0,200,'\'(-inf-30.4]\'',Mężczyzna,33,48,zły
16,633.56,1,250,'\'(55.2-67.6]\'',Mężczyzna,108,48,dobry
12,1037,0,200,'\'(30.4-42.8]\'',Kobieta,1,2,zły
13,910.33,1,200,'\'(67.6-inf)\'',Mężczyzna,160,48,dobry
13,856,1,200,'\'(55.2-67.6]\'',Kobieta,54,48,dobry
12,1500,1,371.94,'\'(42.8-55.2]\'',Kobieta,6,1,dobry
11,1300,1,700,'\'(-inf-30.4]\'',Kobieta,7,48,zły
11,1554.24,0,500,'\'(42.8-55.2]\'',Mężczyzna,150,48,zły
12,1800,1,800,'\'(-inf-30.4]\'',Mężczyzna,5,5,zły
13,713.78,0,200,'\'(55.2-67.6]\'',Kobieta,26,48,zły
13,965,1,200,'\'(67.6-inf)\'',Kobieta,242,48,dobry
11,2600,0,400,'\'(55.2-67.6]\'',Mężczyzna,132,48,dobry
13,1239,1,300,'\'(67.6-inf)\'',Kobieta,267,48,dobry
16,1389,0,300,'\'(55.2-67.6]\'',Kobieta,88,48,dobry
13,984,0,200,'\'(55.2-67.6]\'',Kobieta,8,48,dobry
12,830.46,0,600,'\'(42.8-55.2]\'',Kobieta,42,29,dobry
16,1340,1,500,'\'(55.2-67.6]\'',Kobieta,158,48,dobry
13,640,1,500,'\'(67.6-inf)\'',Kobieta,136,48,dobry
13,616,1,200,'\'(67.6-inf)\'',Kobieta,243,48,dobry
12,1009.34,0,300,'\'(42.8-55.2]\'',Kobieta,26,41,dobry
16,703,1,200,'\'(55.2-67.6]\'',Kobieta,23,48,dobry
11,1200,0,500,'\'(42.8-55.2]\'',Kobieta,25,48,zły
13,1426,1,300,'\'(67.6-inf)\'',Mężczyzna,74,48,dobry
12,1300,1,417.53,'\'(-inf-30.4]\'',Mężczyzna,6,20,dobry
11,2700,0,300,'\'(30.4-42.8]\'',Mężczyzna,6,48,dobry
11,1700,1,300,'\'(42.8-55.2]\'',Mężczyzna,36,48,dobry
13,1500,1,300,'\'(55.2-67.6]\'',Kobieta,43,48,dobry
17,684,1,900,'\'(55.2-67.6]\'',Kobieta,187,22,dobry
11,2505,1,202.73,'\'(30.4-42.8]\'',Kobieta,161,48,dobry
98,3000,1,1500,'\'(55.2-67.6]\'',Mężczyzna,66,48,dobry
11,1300,1,600,'\'(42.8-55.2]\'',Kobieta,65,48,dobry
12,1000,2,200,'\'(-inf-30.4]\'',Mężczyzna,9,16,dobry
13,1000,1,500,'\'(55.2-67.6]\'',Kobieta,65,48,dobry
11,1000,1,800,'\'(55.2-67.6]\'',Mężczyzna,60,48,dobry
13,2421.55,1,1000,'\'(67.6-inf)\'',Kobieta,242,48,dobry
11,1172.2,1,400,'\'(55.2-67.6]\'',Kobieta,34,48,dobry
11,1290,1,600,'\'(30.4-42.8]\'',Kobieta,16,48,dobry
11,2200,0,900,'\'(30.4-42.8]\'',Kobieta,34,48,dobry
16,921.58,0,200,'\'(55.2-67.6]\'',Kobieta,18,48,zły
13,997,1,300,'\'(55.2-67.6]\'',Kobieta,76,48,dobry
16,1279.58,0,400,'\'(55.2-67.6]\'',Kobieta,158,48,zły
13,962,1,500,'\'(55.2-67.6]\'',Kobieta,62,48,dobry
13,810,2,300,'\'(55.2-67.6]\'',Kobieta,30,48,dobry
12,600,2,400,'\'(42.8-55.2]\'',Mężczyzna,6,21,dobry
11,1680,1,300,'\'(55.2-67.6]\'',Kobieta,382,48,dobry
12,611.36,1,400,'\'(55.2-67.6]\'',Mężczyzna,0,3,dobry
13,1189,1,265.58,'\'(55.2-67.6]\'',Kobieta,67,48,dobry
13,1212,1,500,'\'(55.2-67.6]\'',Kobieta,51,48,dobry
13,1137.19,1,400,'\'(55.2-67.6]\'',Kobieta,93,48,dobry
13,744.07,0,300,'\'(55.2-67.6]\'',Kobieta,10,48,dobry
11,2100,0,300,'\'(42.8-55.2]\'',Mężczyzna,47,48,dobry
13,1130,1,300,'\'(55.2-67.6]\'',Kobieta,100,48,dobry
11,1510,1,900,'\'(55.2-67.6]\'',Mężczyzna,163,48,dobry
13,802.83,1,200,'\'(55.2-67.6]\'',Kobieta,198,48,dobry
16,655,1,500,'\'(42.8-55.2]\'',Kobieta,28,48,dobry
13,1684,1,300,'\'(55.2-67.6]\'',Kobieta,17,48,dobry
13,3600,0,1000,'\'(55.2-67.6]\'',Mężczyzna,83,48,dobry
13,1428.55,1,235.97,'\'(55.2-67.6]\'',Kobieta,134,48,dobry
12,990.34,0,200,'\'(42.8-55.2]\'',Kobieta,53,19,dobry
11,5800,1,1000,'\'(42.8-55.2]\'',Kobieta,51,48,dobry
13,1601.87,0,350,'\'(55.2-67.6]\'',Mężczyzna,42,48,dobry
11,1400,1,200,'\'(42.8-55.2]\'',Mężczyzna,11,48,dobry
12,1210,0,200,'\'(42.8-55.2]\'',Mężczyzna,4,5,dobry
13,940,1,300,'\'(67.6-inf)\'',Mężczyzna,50,48,dobry
17,1031,0,350,'\'(42.8-55.2]\'',Kobieta,48,12,dobry
13,2612,0,1800,'\'(67.6-inf)\'',Mężczyzna,79,48,dobry
11,1800,1,300,'\'(30.4-42.8]\'',Mężczyzna,162,48,dobry
16,634,0,200,'\'(55.2-67.6]\'',Kobieta,48,48,dobry
13,1474.55,0,400,'\'(55.2-67.6]\'',Kobieta,62,48,dobry
99,1393.85,0,200,'\'(-inf-30.4]\'',Mężczyzna,2,0,dobry
13,1100,0,300,'\'(55.2-67.6]\'',Kobieta,40,48,dobry
13,930,2,300,'\'(55.2-67.6]\'',Kobieta,128,48,dobry
13,1100,1,300,'\'(55.2-67.6]\'',Kobieta,102,48,dobry
11,2800,1,600,'\'(42.8-55.2]\'',Kobieta,316,48,dobry
11,2500,1,769.94,'\'(42.8-55.2]\'',Mężczyzna,201,48,dobry
13,1700,1,500,'\'(67.6-inf)\'',Mężczyzna,11,48,dobry
12,988,1,200,'\'(42.8-55.2]\'',Mężczyzna,6,6,dobry
13,1062,0,400,'\'(55.2-67.6]\'',Kobieta,159,48,dobry
13,1503,1,400,'\'(55.2-67.6]\'',Mężczyzna,163,48,dobry
11,1300,1,400,'\'(42.8-55.2]\'',Kobieta,31,48,dobry
12,1200,1,300,'\'(30.4-42.8]\'',Kobieta,6,8,dobry
13,2098,1,700,'\'(67.6-inf)\'',Mężczyzna,194,48,dobry
13,2291,2,1000,'\'(67.6-inf)\'',Kobieta,68,48,dobry
16,837,0,300,'\'(55.2-67.6]\'',Mężczyzna,228,48,dobry
12,1040,0,250,'\'(30.4-42.8]\'',Kobieta,0,0,zły
13,730,0,200,'\'(67.6-inf)\'',Kobieta,558,48,dobry
12,1100,0,300,'\'(42.8-55.2]\'',Kobieta,12,17,zły
11,1700,1,500,'\'(42.8-55.2]\'',Kobieta,303,48,dobry
11,2031,1,2000,'\'(55.2-67.6]\'',Mężczyzna,111,48,zły
13,1442.43,2,200,'\'(67.6-inf)\'',Kobieta,138,48,dobry
11,1360,2,200,'\'(42.8-55.2]\'',Mężczyzna,117,48,dobry
12,1050,0,300,'\'(42.8-55.2]\'',Kobieta,31,5,dobry
16,892,0,500,'\'(55.2-67.6]\'',Kobieta,198,48,dobry
12,1500,1,1130.33,'\'(42.8-55.2]\'',Kobieta,11,15,dobry
13,850,1,400,'\'(55.2-67.6]\'',Kobieta,64,48,dobry
12,2500,0,800,'\'(55.2-67.6]\'',Mężczyzna,2,1,dobry
13,1350,0,300,'\'(55.2-67.6]\'',Kobieta,108,48,dobry
11,1900,1,903.23,'\'(30.4-42.8]\'',Kobieta,176,48,dobry
11,3200,1,700,'\'(42.8-55.2]\'',Mężczyzna,186,48,dobry
11,2100,0,700,'\'(-inf-30.4]\'',Kobieta,20,48,dobry
17,547.89,0,200,'\'(55.2-67.6]\'',Kobieta,53,5,dobry
17,443.65,0,600,'\'(-inf-30.4]\'',Mężczyzna,10,25,zły
11,3000,0,700,'\'(42.8-55.2]\'',Mężczyzna,1,48,zły
16,1411,1,400,'\'(55.2-67.6]\'',Kobieta,63,48,dobry
12,1800,1,700,'\'(-inf-30.4]\'',Mężczyzna,8,0,dobry
13,1210,0,300,'\'(55.2-67.6]\'',Kobieta,135,48,dobry
12,1447,2,500,'\'(-inf-30.4]\'',Kobieta,19,5,dobry
11,1515.11,0,300,'\'(30.4-42.8]\'',Kobieta,11,48,zły
12,1037.34,0,300,'\'(-inf-30.4]\'',Mężczyzna,17,7,dobry
13,785,1,200,'\'(67.6-inf)\'',Kobieta,61,48,dobry
99,980,2,449.7,'\'(-inf-30.4]\'',Mężczyzna,9,1,dobry
11,1320,1,500,'\'(42.8-55.2]\'',Mężczyzna,339,48,dobry
16,959.6,1,200,'\'(67.6-inf)\'',Kobieta,112,48,dobry
11,1700,1,600,'\'(42.8-55.2]\'',Kobieta,86,48,dobry
13,3900,2,300,'\'(42.8-55.2]\'',Mężczyzna,27,48,dobry
13,720.19,0,200,'\'(55.2-67.6]\'',Kobieta,90,48,dobry
99,750,1,300,'\'(-inf-30.4]\'',Mężczyzna,1,4,dobry
13,1425,1,500,'\'(55.2-67.6]\'',Kobieta,17,48,zły
11,1077.49,1,300,'\'(42.8-55.2]\'',Kobieta,369,48,dobry
99,2800,2,200,'\'(30.4-42.8]\'',Kobieta,7,0,zły
11,4000,2,600,'\'(42.8-55.2]\'',Mężczyzna,7,48,dobry
13,2010,0,700,'\'(55.2-67.6]\'',Mężczyzna,135,48,dobry
11,2258,2,1000,'\'(30.4-42.8]\'',Mężczyzna,72,48,dobry
17,985,2,200,'\'(-inf-30.4]\'',Mężczyzna,10,1,dobry
13,1668,2,392.14,'\'(55.2-67.6]\'',Kobieta,88,48,dobry
11,1050,1,441.91,'\'(42.8-55.2]\'',Kobieta,15,48,zły
13,1672.59,0,200,'\'(55.2-67.6]\'',Mężczyzna,19,48,dobry
13,12220,0,200,'\'(55.2-67.6]\'',Mężczyzna,68,48,dobry
16,588,2,600,'\'(42.8-55.2]\'',Mężczyzna,419,48,dobry
13,611,0,300,'\'(55.2-67.6]\'',Kobieta,136,48,dobry
13,1065,1,230,'\'(55.2-67.6]\'',Kobieta,19,48,dobry
13,1261.6,1,400,'\'(55.2-67.6]\'',Mężczyzna,50,48,dobry
11,1200,0,1000,'\'(30.4-42.8]\'',Mężczyzna,24,48,zły
13,1454.91,1,400,'\'(55.2-67.6]\'',Kobieta,39,48,dobry
12,1634,0,300,'\'(-inf-30.4]\'',Kobieta,9,0,dobry
13,1900,0,1000,'\'(67.6-inf)\'',Kobieta,252,48,zły
11,2700,2,500,'\'(30.4-42.8]\'',Mężczyzna,12,48,dobry
11,1680,2,799.84,'\'(55.2-67.6]\'',Kobieta,67,48,dobry
12,1400,0,300,'\'(-inf-30.4]\'',Mężczyzna,9,23,dobry
12,1037,0,200,'\'(30.4-42.8]\'',Kobieta,8,5,zły
13,1072,2,432.44,'\'(67.6-inf)\'',Kobieta,150,48,dobry
16,763.38,1,200,'\'(55.2-67.6]\'',Mężczyzna,208,48,dobry
16,1045.6,2,500,'\'(42.8-55.2]\'',Kobieta,9,48,dobry
11,1888.27,1,400,'\'(-inf-30.4]\'',Mężczyzna,74,48,dobry
11,2927,0,500,'\'(30.4-42.8]\'',Kobieta,198,48,dobry
11,1842.86,0,400,'\'(55.2-67.6]\'',Mężczyzna,5,48,dobry
13,3100,0,600,'\'(55.2-67.6]\'',Mężczyzna,135,48,dobry
13,1688.82,0,300,'\'(42.8-55.2]\'',Mężczyzna,96,48,dobry
13,1240,2,300,'\'(55.2-67.6]\'',Kobieta,67,48,dobry
12,900,2,400,'\'(-inf-30.4]\'',Mężczyzna,15,5,dobry
11,1400,2,300,'\'(42.8-55.2]\'',Kobieta,22,48,dobry
13,1026,2,200,'\'(67.6-inf)\'',Kobieta,244,48,dobry
11,1700,2,281.29,'\'(42.8-55.2]\'',Kobieta,202,48,dobry
11,3000,2,300,'\'(55.2-67.6]\'',Mężczyzna,209,48,dobry
11,763,1,300,'\'(42.8-55.2]\'',Kobieta,90,48,dobry
99,645.31,0,400,'\'(42.8-55.2]\'',Kobieta,8,4,dobry
13,729.03,2,300,'\'(67.6-inf)\'',Kobieta,254,48,dobry
13,1090.14,1,400,'\'(55.2-67.6]\'',Kobieta,72,48,dobry
11,2458,0,600,'\'(55.2-67.6]\'',Mężczyzna,144,48,dobry
13,714,2,200,'\'(55.2-67.6]\'',Kobieta,219,48,dobry
16,1389,1,200,'\'(55.2-67.6]\'',Kobieta,88,48,dobry
13,1291.18,2,381.29,'\'(67.6-inf)\'',Kobieta,76,48,dobry
12,1952.35,1,400,'\'(42.8-55.2]\'',Mężczyzna,1,10,dobry
17,607.95,0,300,'\'(55.2-67.6]\'',Mężczyzna,210,30,zły
