@relation kredyty

@attribute status_pożyczki {splacona,splacona_cz,windykacja,windykacja_sp,odmowa}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
splacona_cz,11,2353,1,1569.98,48,Mężczyzna,96,48,8
odmowa,16,540,0,200,40,Kobieta,180,48,0
splacona,13,3251,0,600,63,Kobieta,135,48,0
splacona_cz,13,1525.46,1,521.49,62,Kobieta,33,48,4
windykacja_sp,11,1136.8,1,200,26,Mężczyzna,6,48,191
splacona_cz,13,3700,1,800,62,Kobieta,24,48,0
splacona_cz,13,1538,1,200,63,Mężczyzna,98,48,0
splacona_cz,13,957.2,0,200,74,Mężczyzna,194,48,0
splacona,11,1459,1,300,26,Mężczyzna,6,48,9
splacona_cz,11,3000,1,500,45,Kobieta,90,48,4
splacona,13,2100,1,300,72,Kobieta,157,48,0
splacona_cz,11,1400,1,200,54,Kobieta,114,48,1
splacona_cz,13,2120,1,600,68,Kobieta,116,48,3
splacona_cz,12,1027,1,300,39,Kobieta,6,48,0
splacona_cz,13,1801.41,1,700,58,Kobieta,35,48,0
windykacja,12,1017,1,300,36,Mężczyzna,54,5,0
splacona_cz,12,1030,1,200,51,Mężczyzna,6,48,3
splacona_cz,13,1193.65,0,400,63,Mężczyzna,6,48,0
splacona,12,2000,2,200,50,Kobieta,32,23,0
splacona,11,2000,0,800,46,Mężczyzna,48,48,0
splacona_cz,13,803.86,1,200,68,Kobieta,155,48,0
splacona_cz,13,1412,1,400,73,Kobieta,201,48,0
splacona_cz,98,5000,0,600,41,Kobieta,81,48,2
splacona_cz,11,1000,1,275.97,41,Kobieta,58,48,5
splacona_cz,16,1045,0,200,50,Mężczyzna,196,48,1
splacona,17,1896,1,500,22,Mężczyzna,31,2,0
splacona_cz,11,1200,1,300,38,Kobieta,187,48,2
splacona,12,1500,0,900,35,Mężczyzna,30,5,0
splacona,13,1425,1,200,60,Kobieta,76,48,1
splacona_cz,16,2300,1,200,55,Kobieta,60,48,0
splacona_cz,11,2800,1,400,54,Kobieta,57,48,0
splacona_cz,12,1600,1,498.47,31,Kobieta,11,0,5
windykacja_sp,13,1674.77,0,200,67,Mężczyzna,66,48,214
odmowa,13,995,0,300,52,Mężczyzna,168,48,0
splacona,11,2011,0,500,52,Mężczyzna,208,48,42
splacona_cz,12,1574.45,0,450,47,Mężczyzna,28,7,5
odmowa,16,634.64,0,200,51,Kobieta,19,48,0
splacona_cz,11,1261.98,1,400,40,Mężczyzna,33,48,6
splacona_cz,13,1149.06,0,400,60,Kobieta,158,48,0
splacona_cz,16,1313.41,1,400,62,Mężczyzna,25,48,1
splacona,13,1200.29,1,200,62,Kobieta,19,48,0
splacona_cz,11,1300,1,326.61,39,Mężczyzna,42,48,0
splacona,13,985.9,0,200,62,Kobieta,87,48,0
splacona_cz,12,660,1,400,40,Kobieta,9,29,2
odmowa,17,540.62,0,300,18,Mężczyzna,3,17,0
splacona_cz,16,755.1,0,200,64,Kobieta,131,48,0
odmowa,13,1079.14,0,300,68,Mężczyzna,115,48,0
splacona_cz,13,1591,1,381.29,66,Mężczyzna,73,48,0
splacona_cz,13,1162,1,200,62,Mężczyzna,218,48,0
windykacja_sp,11,1600,1,400,52,Mężczyzna,265,48,425
splacona_cz,12,700,1,250,40,Mężczyzna,6,17,0
windykacja,11,1250,1,400,61,Mężczyzna,103,48,0
splacona_cz,11,2249.14,1,500,57,Kobieta,238,48,7
odmowa,13,1517,0,400,78,Kobieta,132,48,0
splacona_cz,13,1013.74,1,400,65,Kobieta,110,48,0
splacona_cz,11,1500,0,400,58,Kobieta,82,48,0
splacona_cz,12,1675,1,600,54,Kobieta,6,5,3
splacona_cz,13,5100,1,700,61,Kobieta,25,48,0
odmowa,11,3500,0,1000,41,Kobieta,238,48,0
splacona_cz,11,1617.68,0,200,52,Kobieta,82,48,2
splacona_cz,16,2300,2,1000,55,Kobieta,60,48,0
odmowa,13,601.03,0,300,46,Kobieta,302,48,0
splacona_cz,13,1233,0,400,63,Kobieta,120,48,0
odmowa,13,940.49,0,400,68,Mężczyzna,258,48,0
splacona_cz,13,1768.93,1,500,63,Mężczyzna,266,48,4
splacona_cz,11,3170,1,400,47,Kobieta,282,48,4
windykacja,11,1037.34,0,300,24,Mężczyzna,31,48,0
splacona,11,1239.05,1,400,39,Kobieta,201,48,10
splacona_cz,12,2000,1,396.61,53,Kobieta,6,20,3
windykacja,13,814.83,1,300,49,Mężczyzna,154,48,0
odmowa,13,832.92,0,200,67,Kobieta,136,48,0
splacona_cz,13,951,1,500,73,Kobieta,159,48,0
splacona_cz,12,1350,1,281.29,55,Kobieta,19,5,0
windykacja,11,1065,1,650,35,Kobieta,56,48,0
odmowa,11,2600,0,650,64,Mężczyzna,132,48,0
splacona_cz,11,1800,1,600,48,Mężczyzna,123,48,6
odmowa,11,1037,0,200,22,Mężczyzna,33,48,0
splacona_cz,16,633.56,1,250,64,Mężczyzna,108,48,1
windykacja,12,1037,0,200,36,Kobieta,1,2,0
splacona_cz,13,910.33,1,200,73,Mężczyzna,160,48,1
splacona_cz,13,856,1,200,64,Kobieta,54,48,0
splacona,12,1500,1,371.94,53,Kobieta,6,1,1
windykacja,11,1300,1,700,27,Kobieta,7,48,0
odmowa,11,1554.24,0,500,45,Mężczyzna,150,48,0
windykacja_sp,12,1800,1,800,29,Mężczyzna,5,5,262
odmowa,13,713.78,0,200,62,Kobieta,26,48,0
splacona_cz,13,965,1,200,75,Kobieta,242,48,1
splacona,11,2600,0,400,64,Mężczyzna,132,48,0
splacona_cz,13,1239,1,300,77,Kobieta,267,48,2
splacona_cz,16,1389,0,300,63,Kobieta,88,48,0
splacona_cz,13,984,0,200,61,Kobieta,8,48,0
splacona_cz,12,830.46,0,600,47,Kobieta,42,29,1
splacona_cz,16,1340,1,500,63,Kobieta,158,48,3
splacona,13,640,1,500,72,Kobieta,136,48,1
splacona_cz,13,616,1,200,75,Kobieta,243,48,0
splacona_cz,12,1009.34,0,300,55,Kobieta,26,41,0
splacona_cz,16,703,1,200,57,Kobieta,23,48,1
odmowa,11,1200,0,500,54,Kobieta,25,48,0
splacona_cz,13,1426,1,300,71,Mężczyzna,74,48,0
splacona,12,1300,1,417.53,25,Mężczyzna,6,20,409
splacona_cz,11,2700,0,300,39,Mężczyzna,6,48,0
splacona_cz,11,1700,1,300,54,Mężczyzna,36,48,1
splacona_cz,13,1500,1,300,58,Kobieta,43,48,1
splacona_cz,17,684,1,900,58,Kobieta,187,22,1
splacona,11,2505,1,202.73,40,Kobieta,161,48,1
splacona,98,3000,1,1500,57,Mężczyzna,66,48,9
splacona,11,1300,1,600,54,Kobieta,65,48,11
splacona_cz,12,1000,2,200,24,Mężczyzna,9,16,0
splacona_cz,13,1000,1,500,60,Kobieta,65,48,1
splacona_cz,11,1000,1,800,60,Mężczyzna,60,48,0
splacona_cz,13,2421.55,1,1000,80,Kobieta,242,48,0
splacona_cz,11,1172.2,1,400,56,Kobieta,34,48,1
splacona_cz,11,1290,1,600,32,Kobieta,16,48,1
splacona,11,2200,0,900,33,Kobieta,34,48,0
odmowa,16,921.58,0,200,57,Kobieta,18,48,0
splacona_cz,13,997,1,300,61,Kobieta,76,48,1
odmowa,16,1279.58,0,400,64,Kobieta,158,48,0
splacona,13,962,1,500,62,Kobieta,62,48,15
splacona_cz,13,810,2,300,60,Kobieta,30,48,8
splacona_cz,12,600,2,400,47,Mężczyzna,6,21,0
splacona_cz,11,1680,1,300,57,Kobieta,382,48,1
splacona,12,611.36,1,400,61,Mężczyzna,0,3,280
splacona_cz,13,1189,1,265.58,62,Kobieta,67,48,1
splacona_cz,13,1212,1,500,60,Kobieta,51,48,1
splacona_cz,13,1137.19,1,400,66,Kobieta,93,48,0
splacona,13,744.07,0,300,61,Kobieta,10,48,1
splacona_cz,11,2100,0,300,45,Mężczyzna,47,48,0
splacona_cz,13,1130,1,300,62,Kobieta,100,48,0
splacona_cz,11,1510,1,900,58,Mężczyzna,163,48,1
splacona_cz,13,802.83,1,200,65,Kobieta,198,48,0
splacona_cz,16,655,1,500,53,Kobieta,28,48,0
splacona_cz,13,1684,1,300,61,Kobieta,17,48,0
splacona_cz,13,3600,0,1000,57,Mężczyzna,83,48,0
splacona_cz,13,1428.55,1,235.97,66,Kobieta,134,48,0
splacona_cz,12,990.34,0,200,46,Kobieta,53,19,0
splacona_cz,11,5800,1,1000,47,Kobieta,51,48,0
splacona_cz,13,1601.87,0,350,64,Mężczyzna,42,48,0
splacona_cz,11,1400,1,200,49,Mężczyzna,11,48,0
splacona,12,1210,0,200,52,Mężczyzna,4,5,20
splacona_cz,13,940,1,300,69,Mężczyzna,50,48,2
splacona_cz,17,1031,0,350,53,Kobieta,48,12,0
splacona_cz,13,2612,0,1800,72,Mężczyzna,79,48,5
splacona_cz,11,1800,1,300,33,Mężczyzna,162,48,0
splacona_cz,16,634,0,200,58,Kobieta,48,48,0
splacona_cz,13,1474.55,0,400,62,Kobieta,62,48,0
splacona_cz,99,1393.85,0,200,29,Mężczyzna,2,0,1
splacona_cz,13,1100,0,300,59,Kobieta,40,48,0
splacona_cz,13,930,2,300,65,Kobieta,128,48,0
splacona,13,1100,1,300,63,Kobieta,102,48,20
splacona_cz,11,2800,1,600,49,Kobieta,316,48,0
splacona_cz,11,2500,1,769.94,47,Mężczyzna,201,48,8
splacona_cz,13,1700,1,500,72,Mężczyzna,11,48,2
splacona,12,988,1,200,54,Mężczyzna,6,6,12
splacona,13,1062,0,400,66,Kobieta,159,48,15
splacona_cz,13,1503,1,400,61,Mężczyzna,163,48,13
splacona,11,1300,1,400,53,Kobieta,31,48,11
splacona_cz,12,1200,1,300,35,Kobieta,6,8,1
splacona_cz,13,2098,1,700,75,Mężczyzna,194,48,2
splacona,13,2291,2,1000,69,Kobieta,68,48,14
splacona_cz,16,837,0,300,61,Mężczyzna,228,48,0
odmowa,12,1040,0,250,34,Kobieta,0,0,0
splacona_cz,13,730,0,200,72,Kobieta,558,48,0
windykacja,12,1100,0,300,43,Kobieta,12,17,0
splacona_cz,11,1700,1,500,51,Kobieta,303,48,4
windykacja_sp,11,2031,1,2000,56,Mężczyzna,111,48,222
splacona_cz,13,1442.43,2,200,79,Kobieta,138,48,0
splacona_cz,11,1360,2,200,46,Mężczyzna,117,48,0
splacona_cz,12,1050,0,300,52,Kobieta,31,5,0
splacona_cz,16,892,0,500,65,Kobieta,198,48,0
splacona,12,1500,1,1130.33,48,Kobieta,11,15,32
splacona_cz,13,850,1,400,66,Kobieta,64,48,5
splacona_cz,12,2500,0,800,57,Mężczyzna,2,1,4
splacona_cz,13,1350,0,300,65,Kobieta,108,48,0
splacona_cz,11,1900,1,903.23,36,Kobieta,176,48,6
splacona_cz,11,3200,1,700,52,Mężczyzna,186,48,0
splacona_cz,11,2100,0,700,27,Kobieta,20,48,0
splacona_cz,17,547.89,0,200,56,Kobieta,53,5,0
odmowa,17,443.65,0,600,22,Mężczyzna,10,25,0
odmowa,11,3000,0,700,45,Mężczyzna,1,48,0
splacona,16,1411,1,400,60,Kobieta,63,48,17
splacona_cz,12,1800,1,700,28,Mężczyzna,8,0,0
splacona_cz,13,1210,0,300,65,Kobieta,135,48,6
splacona_cz,12,1447,2,500,29,Kobieta,19,5,5
odmowa,11,1515.11,0,300,32,Kobieta,11,48,0
splacona_cz,12,1037.34,0,300,30,Mężczyzna,17,7,0
splacona_cz,13,785,1,200,72,Kobieta,61,48,0
splacona,99,980,2,449.7,23,Mężczyzna,9,1,384
splacona_cz,11,1320,1,500,53,Mężczyzna,339,48,3
splacona_cz,16,959.6,1,200,69,Kobieta,112,48,0
splacona_cz,11,1700,1,600,47,Kobieta,86,48,0
splacona_cz,13,3900,2,300,49,Mężczyzna,27,48,3
splacona,13,720.19,0,200,67,Kobieta,90,48,0
splacona_cz,99,750,1,300,19,Mężczyzna,1,4,0
windykacja_sp,13,1425,1,500,56,Kobieta,17,48,465
splacona_cz,11,1077.49,1,300,48,Kobieta,369,48,3
windykacja,99,2800,2,200,38,Kobieta,7,0,0
splacona_cz,11,4000,2,600,53,Mężczyzna,7,48,0
splacona_cz,13,2010,0,700,64,Mężczyzna,135,48,0
splacona_cz,11,2258,2,1000,42,Mężczyzna,72,48,3
splacona_cz,17,985,2,200,20,Mężczyzna,10,1,0
splacona_cz,13,1668,2,392.14,63,Kobieta,88,48,9
windykacja_sp,11,1050,1,441.91,52,Kobieta,15,48,422
splacona_cz,13,1672.59,0,200,62,Mężczyzna,19,48,0
splacona_cz,13,12220,0,200,57,Mężczyzna,68,48,0
splacona_cz,16,588,2,600,55,Mężczyzna,419,48,2
splacona_cz,13,611,0,300,57,Kobieta,136,48,0
splacona,13,1065,1,230,62,Kobieta,19,48,274
splacona,13,1261.6,1,400,64,Mężczyzna,50,48,0
odmowa,11,1200,0,1000,41,Mężczyzna,24,48,0
splacona_cz,13,1454.91,1,400,58,Kobieta,39,48,6
splacona_cz,12,1634,0,300,22,Kobieta,9,0,3
odmowa,13,1900,0,1000,76,Kobieta,252,48,0
splacona_cz,11,2700,2,500,31,Mężczyzna,12,48,3
splacona_cz,11,1680,2,799.84,57,Kobieta,67,48,1
splacona_cz,12,1400,0,300,25,Mężczyzna,9,23,0
odmowa,12,1037,0,200,31,Kobieta,8,5,0
splacona_cz,13,1072,2,432.44,69,Kobieta,150,48,1
splacona_cz,16,763.38,1,200,57,Mężczyzna,208,48,1
splacona_cz,16,1045.6,2,500,54,Kobieta,9,48,0
splacona_cz,11,1888.27,1,400,29,Mężczyzna,74,48,4
splacona_cz,11,2927,0,500,38,Kobieta,198,48,0
splacona_cz,11,1842.86,0,400,56,Mężczyzna,5,48,0
splacona,13,3100,0,600,64,Mężczyzna,135,48,11
splacona_cz,13,1688.82,0,300,46,Mężczyzna,96,48,0
splacona_cz,13,1240,2,300,58,Kobieta,67,48,0
splacona,12,900,2,400,28,Mężczyzna,15,5,8
splacona_cz,11,1400,2,300,43,Kobieta,22,48,0
splacona_cz,13,1026,2,200,74,Kobieta,244,48,0
splacona_cz,11,1700,2,281.29,53,Kobieta,202,48,1
splacona_cz,11,3000,2,300,60,Mężczyzna,209,48,1
splacona_cz,11,763,1,300,46,Kobieta,90,48,0
splacona,99,645.31,0,400,43,Kobieta,8,4,1
splacona_cz,13,729.03,2,300,70,Kobieta,254,48,0
splacona_cz,13,1090.14,1,400,61,Kobieta,72,48,0
splacona,11,2458,0,600,61,Mężczyzna,144,48,0
splacona_cz,13,714,2,200,62,Kobieta,219,48,0
splacona_cz,16,1389,1,200,63,Kobieta,88,48,0
splacona_cz,13,1291.18,2,381.29,70,Kobieta,76,48,0
splacona_cz,12,1952.35,1,400,44,Mężczyzna,1,10,0
odmowa,17,607.95,0,300,58,Mężczyzna,210,30,0
splacona_cz,13,1370,1,900,59,Kobieta,73,48,0
windykacja_sp,13,665.92,2,300,65,Kobieta,122,48,300
odmowa,11,1226,0,300,26,Mężczyzna,2,48,0
splacona_cz,13,1170,0,400,61,Kobieta,75,48,0
splacona,11,1187.06,1,400,56,Kobieta,130,48,2
splacona_cz,17,990,2,400,50,Kobieta,69,16,0
splacona_cz,11,2080,2,500,53,Mężczyzna,315,48,0
splacona_cz,12,1700,2,400,54,Kobieta,52,1,0
splacona,11,1373.34,0,200,30,Kobieta,55,48,0
splacona_cz,17,1200,2,200,25,Kobieta,162,18,0
splacona_cz,11,2400,1,600,35,Kobieta,110,48,0
splacona_cz,17,1485,1,500,58,Mężczyzna,140,46,0
splacona_cz,12,1136.86,0,200,28,Mężczyzna,9,15,1
splacona_cz,13,1362,2,500,61,Kobieta,53,48,6
windykacja,11,3250,1,500,49,Mężczyzna,2,48,0
splacona_cz,16,1600,0,500,67,Mężczyzna,9,48,0
odmowa,16,730,0,300,54,Mężczyzna,113,48,0
splacona_cz,11,2470,2,426.61,49,Kobieta,351,48,0
windykacja,12,1040,2,400,52,Kobieta,15,4,0
splacona_cz,13,1015,2,400,64,Kobieta,106,48,4
odmowa,11,1557.5,0,700,35,Kobieta,182,48,0
splacona_cz,13,1017,2,200,68,Kobieta,158,48,0
splacona,17,547.89,1,350,56,Kobieta,53,5,13
splacona_cz,11,1800,1,600,39,Kobieta,49,48,11
splacona_cz,11,2050,0,800,33,Kobieta,26,48,5
splacona_cz,13,910,2,200,66,Kobieta,67,48,1
splacona,11,2284.23,0,200,43,Mężczyzna,297,48,0
splacona,11,1577.42,2,400,50,Kobieta,202,48,11
windykacja,12,855,2,600,31,Kobieta,41,19,0
splacona,12,1540,1,600,33,Kobieta,36,3,5
splacona_cz,11,2050,2,575.74,32,Mężczyzna,115,48,1
splacona_cz,11,2368.57,0,400,54,Kobieta,407,48,0
odmowa,17,540.62,0,300,20,Kobieta,28,20,0
odmowa,13,1875.17,0,1000,63,Kobieta,96,48,0
splacona_cz,11,4900,0,500,50,Kobieta,8,48,0
splacona_cz,13,1457,1,300,73,Mężczyzna,76,48,3
splacona_cz,13,1216,2,200,66,Kobieta,138,48,0
splacona_cz,13,1280,2,400,61,Kobieta,14,48,0
odmowa,99,490.99,0,400,41,Kobieta,3,5,0
splacona_cz,11,1800,2,500,49,Kobieta,50,48,3
odmowa,13,1798.71,0,800,64,Mężczyzna,132,48,0
windykacja,11,1110,0,600,25,Mężczyzna,7,48,0
splacona,13,930,2,670.73,63,Kobieta,91,48,11
windykacja,11,1500,1,500,33,Mężczyzna,99,48,0
windykacja_sp,11,1033,1,400,33,Mężczyzna,33,48,303
splacona,13,1160,1,500,61,Kobieta,75,48,3
splacona_cz,13,1244.77,2,300,58,Kobieta,36,48,4
splacona,13,930,2,200,72,Kobieta,236,48,0
splacona_cz,13,1200,2,500,70,Kobieta,116,48,16
splacona_cz,13,2015.55,0,600,69,Mężczyzna,108,48,5
splacona_cz,13,1085,2,400,67,Kobieta,163,48,3
splacona_cz,11,2700,2,500,30,Mężczyzna,61,48,2
splacona,11,980.11,2,400,34,Kobieta,42,48,10
odmowa,12,1139.48,0,500,19,Mężczyzna,3,17,0
splacona,13,866.46,2,200,73,Kobieta,192,48,0
splacona_cz,13,1872,2,700,58,Kobieta,32,48,2
splacona_cz,12,2673.17,2,600,51,Mężczyzna,109,48,5
splacona_cz,13,1400,1,400,59,Kobieta,51,48,0
splacona_cz,11,1700,1,500,36,Kobieta,194,48,5
windykacja,11,2700,1,400,35,Mężczyzna,5,48,0
splacona_cz,16,1770,2,500,58,Mężczyzna,86,48,0
splacona_cz,98,4000,2,500.8,35,Kobieta,16,48,2
splacona_cz,11,2670,2,1000,60,Kobieta,85,48,6
odmowa,13,625.86,0,250,73,Mężczyzna,254,48,0
splacona_cz,17,728,2,200,27,Mężczyzna,97,33,2
odmowa,13,757.1,0,200,67,Kobieta,195,48,0
splacona_cz,13,2113.24,1,200,64,Kobieta,58,48,0
splacona_cz,16,685,0,300,52,Kobieta,38,48,0
splacona_cz,11,1906.42,0,400,60,Kobieta,209,48,0
windykacja,13,1561.87,1,281.29,57,Mężczyzna,194,48,0
splacona_cz,12,984.34,1,200,53,Kobieta,15,5,0
splacona_cz,13,907,0,200,70,Kobieta,231,48,0
splacona_cz,11,1721.7,2,385.97,54,Kobieta,117,48,0
splacona,16,726,2,300,59,Mężczyzna,230,48,336
splacona,13,936,2,300,60,Kobieta,28,48,0
splacona_cz,13,1900,2,500,56,Mężczyzna,147,48,0
splacona_cz,13,1817.24,0,400,57,Kobieta,15,48,0
odmowa,98,520,0,200,33,Kobieta,26,48,0
windykacja_sp,16,1100,2,850,69,Mężczyzna,134,48,190
splacona_cz,11,1730.13,0,400,56,Kobieta,190,48,1
splacona_cz,11,2709.34,2,337.64,35,Kobieta,178,48,0
splacona_cz,13,1399.99,0,300,61,Kobieta,12,48,1
splacona_cz,12,1963.88,1,400,44,Mężczyzna,3,2,0
splacona_cz,13,1050,2,600,61,Kobieta,136,48,0
windykacja_sp,17,926,2,520.7,24,Mężczyzna,53,1,400
windykacja_sp,17,926,2,356.68,24,Mężczyzna,53,1,400
splacona_cz,11,1443,2,600,43,Kobieta,31,48,1
splacona_cz,13,1820,2,1000,61,Kobieta,66,48,0
splacona_cz,13,2100,2,1000,73,Kobieta,52,48,23
splacona,16,650.77,0,200,64,Mężczyzna,45,48,3
windykacja,13,784,1,300,60,Kobieta,36,48,0
splacona_cz,11,1000,2,300,30,Mężczyzna,54,48,3
splacona_cz,13,1026,2,300,60,Kobieta,52,48,11
splacona_cz,11,1500,1,200,57,Mężczyzna,392,48,1
splacona,13,1420,1,200,70,Mężczyzna,50,48,0
splacona,13,1217,0,400,65,Mężczyzna,48,48,0
splacona_cz,16,1362,2,400,53,Kobieta,26,48,0
splacona_cz,11,901,1,300,28,Kobieta,37,48,0
splacona,13,3181,0,400,69,Mężczyzna,48,48,0
odmowa,11,1750,0,600,33,Mężczyzna,6,48,0
splacona,13,1530,2,500,64,Mężczyzna,32,48,5
splacona_cz,12,980,2,200,31,Kobieta,7,3,1
odmowa,16,540.62,0,200,23,Mężczyzna,62,48,0
splacona_cz,11,3217,0,300,44,Mężczyzna,267,48,0
splacona_cz,13,3040,2,700,65,Mężczyzna,198,48,0
splacona_cz,17,1100,0,200,56,Kobieta,24,9,0
splacona_cz,11,932.34,2,200,51,Kobieta,392,48,0
splacona,11,1400,0,300,23,Mężczyzna,22,48,0
odmowa,13,1229.15,0,200,61,Kobieta,84,48,0
splacona_cz,13,2000,2,450,68,Mężczyzna,42,48,1
splacona,11,1077,2,200,55,Kobieta,180,48,0
splacona_cz,13,865,2,300,70,Kobieta,125,48,0
splacona_cz,11,983.97,0,200,57,Kobieta,75,48,0
splacona_cz,11,1344.9,1,300,45,Kobieta,43,48,4
splacona_cz,13,1107,0,400,60,Kobieta,12,48,0
splacona_cz,11,967.64,1,200,48,Kobieta,316,48,4
splacona_cz,11,2100,1,500,60,Mężczyzna,184,48,1
splacona_cz,13,722.05,1,200,71,Kobieta,194,48,0
splacona_cz,98,911,2,300,46,Kobieta,95,48,0
splacona_cz,12,1300,1,300,26,Kobieta,5,7,0
splacona_cz,12,1500,1,300,22,Kobieta,1,1,0
splacona_cz,11,1400,2,300,52,Kobieta,158,48,5
splacona,13,2547,0,600,80,Mężczyzna,192,48,0
splacona_cz,16,1528,0,300,58,Mężczyzna,372,48,6
splacona_cz,11,992.84,2,300,49,Kobieta,118,48,0
splacona_cz,13,1400,2,600,59,Kobieta,243,48,0
splacona,13,1294,0,250,70,Kobieta,120,48,0
splacona,99,1100,1,200,53,Kobieta,49,0,0
splacona,13,2800,1,800,54,Mężczyzna,147,48,0
splacona,13,1150,0,300,75,Mężczyzna,135,48,28
splacona,13,2040,1,300,63,Mężczyzna,141,48,14
splacona_cz,13,1125,0,400,65,Kobieta,122,48,0
splacona_cz,13,960,2,300,73,Mężczyzna,137,48,7
splacona,13,1374.08,0,300,64,Mężczyzna,69,48,1
splacona,11,2837,0,662.69,30,Mężczyzna,123,48,21
splacona_cz,13,1175,0,400,65,Kobieta,112,48,0
splacona_cz,16,1072.89,2,300,55,Kobieta,119,48,0
splacona,12,1042,1,300,49,Mężczyzna,2,0,12
splacona_cz,12,1382,1,200,37,Kobieta,18,5,0
splacona_cz,11,1037.34,2,200,41,Kobieta,59,48,0
splacona,13,1239.98,0,200,78,Kobieta,252,48,0
splacona_cz,98,2200,2,400,47,Kobieta,22,48,0
splacona_cz,13,1500,2,396.61,61,Mężczyzna,20,48,1
odmowa,11,2002,0,600,36,Mężczyzna,61,48,0
splacona_cz,16,634.64,1,300,57,Kobieta,133,48,0
splacona_cz,13,1014,0,300,63,Kobieta,180,48,7
splacona_cz,11,1493.98,1,200,47,Kobieta,358,48,0
splacona_cz,12,1032,2,300,46,Kobieta,35,5,3
windykacja,17,646,0,380.59,40,Kobieta,51,3,0
splacona,11,2100,1,820.86,42,Mężczyzna,281,48,334
windykacja_sp,13,782,0,356.29,57,Kobieta,189,48,209
splacona_cz,13,580,2,800,56,Kobieta,116,48,2
splacona_cz,12,599.03,1,200,37,Kobieta,16,2,5
odmowa,13,634.64,0,400,62,Kobieta,254,48,0
odmowa,13,889.38,0,400,65,Mężczyzna,5,48,0
odmowa,12,5000,0,700,42,Mężczyzna,3,3,0
splacona,13,1000,1,300,70,Kobieta,61,48,0
odmowa,13,720.08,0,450,76,Kobieta,239,48,0
splacona_cz,13,3440,2,800,55,Kobieta,48,48,6
odmowa,11,718.57,0,200,41,Kobieta,78,48,0
splacona,11,800.51,1,400,38,Kobieta,17,48,13
odmowa,11,1133.37,0,200,53,Kobieta,389,48,0
odmowa,12,1520.01,0,500,38,Kobieta,26,41,0
splacona,11,2200,2,499.98,35,Mężczyzna,82,48,18
splacona,11,2500,1,600,49,Kobieta,230,48,0
splacona_cz,12,1300,2,600,29,Mężczyzna,24,17,6
splacona_cz,17,798.8,2,300,54,Mężczyzna,146,4,6
odmowa,12,1038,0,500,50,Mężczyzna,30,17,0
odmowa,16,799.4,0,300,59,Kobieta,126,48,0
splacona,16,1473.04,1,400,65,Mężczyzna,162,48,3
odmowa,12,670.8,0,300,50,Mężczyzna,3,5,0
splacona,11,1250,2,500,61,Mężczyzna,62,48,14
splacona,13,750,0,300,62,Kobieta,28,48,0
splacona_cz,13,2110,2,300,66,Mężczyzna,98,48,0
windykacja_sp,13,930,1,400,59,Kobieta,29,48,436
windykacja_sp,12,1000,2,231.22,52,Mężczyzna,9,30,437
splacona_cz,13,1658,2,300,59,Kobieta,26,48,1
splacona_cz,16,749.28,2,200,53,Kobieta,62,48,2
splacona_cz,13,1016,0,250,70,Kobieta,186,48,0
splacona_cz,11,3200,2,600,51,Kobieta,51,48,1
splacona_cz,11,3100,2,500,32,Kobieta,118,48,0
splacona_cz,11,2700,2,400,37,Kobieta,118,48,0
splacona_cz,11,2947,2,393.99,59,Mężczyzna,50,48,3
odmowa,12,1027.22,0,300,24,Mężczyzna,1,2,0
splacona,11,2100,2,300,33,Mężczyzna,61,48,9
splacona_cz,16,980,2,400,68,Kobieta,128,48,1
odmowa,11,960,0,400,42,Kobieta,4,48,0
splacona,11,1400,1,412.72,33,Kobieta,98,48,9
splacona_cz,11,1900,2,694,38,Kobieta,205,48,3
windykacja,12,950,1,200,37,Mężczyzna,4,11,0
splacona_cz,12,1000,2,328,60,Mężczyzna,9,1,4
splacona_cz,12,1000,2,328.32,50,Kobieta,29,0,4
splacona_cz,13,1900,2,500,62,Kobieta,85,48,1
splacona_cz,11,3335,2,600,56,Mężczyzna,430,48,2
splacona_cz,11,1087,1,377.69,40,Kobieta,235,48,5
odmowa,16,639.31,0,300,51,Mężczyzna,246,48,0
splacona_cz,13,2066,2,700,61,Kobieta,126,48,1
splacona_cz,13,975,2,253.12,61,Kobieta,24,48,3
odmowa,11,2424.72,0,1000,38,Mężczyzna,64,48,0
odmowa,11,2094.17,0,500,53,Mężczyzna,238,48,0
odmowa,11,2575.31,0,1000,54,Kobieta,190,48,0
splacona_cz,11,2250.05,0,500,61,Mężczyzna,173,48,1
splacona_cz,12,1100,2,300,65,Mężczyzna,19,17,1
splacona_cz,13,1977,0,700,61,Kobieta,52,48,3
odmowa,11,993.48,0,200,41,Kobieta,163,48,0
splacona,13,1134.96,2,200,68,Kobieta,159,48,16
splacona_cz,13,1287.66,1,200,63,Mężczyzna,94,48,2
splacona_cz,13,1538,2,200,63,Mężczyzna,99,48,3
splacona_cz,13,1426,2,300,71,Mężczyzna,75,48,0
odmowa,12,1200,0,200,59,Mężczyzna,0,23,0
splacona_cz,98,980,1,300,56,Kobieta,8,48,1
